标题,个人评分,打分日期,条目链接,评论
"彗星来的那一夜 / Coherence","3","2023-11-23","https://movie.douban.com/subject/25807345/","虽然很硬核，但是我看到结尾并没感觉到像看恐怖游轮那种背后一凉的感觉。大部分原因是一刷没看太懂结尾的含义。后来补了一下物理知识，知道涉及了平行宇宙和退相干性，才知道这个电影其实挺巧妙。还有一个减分的地方就是一开头实在太拖沓了，个人十分不喜欢",
"碟中谍7：致命清算（上） / Mission: Impossible – Dead Reckonin...","2","2023-11-29","https://movie.douban.com/subject/30433455/","完全和期待的不是一回事。剧情拖沓，新加入的女主感觉也是智商不在线。最精彩的是最后结尾的片尾曲",
"涉过愤怒的海","3","2023-11-29","https://movie.douban.com/subject/33456512/","",
"美国精神病人 / American Psycho","3","2024-01-08","https://movie.douban.com/subject/1301715/","应该是一个我不会二刷的电影，里面感觉隐喻有点多，个人知识水平不足以理解。最后感觉是其实全都是他的想象，“死掉”的艾伦可能就仅仅是搬走了而已。但是感觉现在每个人的心理上都多多少少有点主角的影子",
"第八个嫌疑人","4","2024-01-18","https://movie.douban.com/subject/34436452/","体验了一次逃犯的生活，看完电影感觉“幸好我不是逃犯”。片尾曲大赞",
"英伦对决 / The Foreigner","3","2024-01-21","https://movie.douban.com/subject/25723583/","没看懂涉及政治博弈的地方，感觉电影没有让我激动的点。有点在看连续剧的感觉。整体还行",
"扫毒3：人在天涯 / 掃毒3：人在天涯","3","2024-01-24","https://movie.douban.com/subject/35013359/","枪战部分真的占了很多篇幅，但是并不出彩，甚至不如12年毒战的营造的紧张感。老大的是真惨，周围一把二把手全是卧底。总体来说看起来没太大波澜，中规中矩的警匪片",
"死亡论文 / Tesis","4","2024-01-25","https://movie.douban.com/subject/1421807/","可能是我看的恐怖片少的缘故，看的时候是发自内心的紧张。甚至中途按了暂停键。应该是为了告诉大家，还是要注意媒体对于传播暴力的谨慎。女主真的太美了",
"查理和巧克力工厂 / Charlie and the Chocolate Factory","4","2024-01-29","https://movie.douban.com/subject/1309101/","很喜欢王卡那个怪怪的劲，很有特色。还有那个哼的一笑。重温了小时候看的电影，现在来看也是非常好看，很推荐",
"怒火·重案 / 怒火","3","2024-01-29","https://movie.douban.com/subject/30174085/","标准的警匪片，最后单挑的打斗戏质量很高。其他地方都很标准。角色比较少，对记不住名字的我很友好，起码完全看懂了是在讲什么",
"第二十条","4","2024-02-11","https://movie.douban.com/subject/36208094/","前半部分很不错，后半段难免落入升华的俗套。主角夫妻演的很好，里面的一些段子很恰当合适，不会尴尬。总体来说还是一部很成功的电影",
"超时空接触 / Contact","3","2024-02-20","https://movie.douban.com/subject/1295647/","没有特别理解整个故事表达的内容，但感觉我们或多或少都往女主探索的领域畅想过。看完并没有因为不理解而感到沮丧，反而是感觉有点意味深长，意犹未尽。",
"伊尼舍林的报丧女妖 / The Banshees of Inisherin","3","2024-02-22","https://movie.douban.com/subject/34969348/","有点像 低高能版的低俗小说。剧情稍微有点平淡，更多突出的是人和人之间的交流，总会有一到两个小悬念揪着你看下去。里面的某些对话很符合现实生活，给缓慢的电影节奏增加了一点波动。",
"回家的路 / 집으로 가는 길","4","2024-02-26","https://movie.douban.com/subject/6080840/","简单的故事，不简单的人们。虽然情节起伏曲折不大，但是步步抓人。",
"饮食男女 / 飲食男女","3","2024-03-01","https://movie.douban.com/subject/1291818/","",
"战争之王 / Lord of War","4","2024-03-01","https://movie.douban.com/subject/1419936/","最后结局有点爽是怎么回事",
"黑客帝国2：重装上阵 / The Matrix Reloaded","4","2024-03-01","https://movie.douban.com/subject/1304141/","",
"无耻混蛋 / Inglourious Basterds","4","2024-03-01","https://movie.douban.com/subject/1438652/","反派令人印象深刻",
"疯狂的麦克斯4：狂暴之路 / Mad Max: Fury Road","4","2024-03-01","https://movie.douban.com/subject/3592854/","很带感",
"恋恋笔记本 / The Notebook","3","2024-03-01","https://movie.douban.com/subject/1309163/","",
"真爱至上 / Love Actually","3","2024-03-01","https://movie.douban.com/subject/1292401/","",
"一个叫欧维的男人决定去死 / En man som heter Ove","3","2024-03-01","https://movie.douban.com/subject/26628357/","一开始几乎能猜到结局的剧情，但是全程节奏把握很好，情节设计前后还有呼应。但是整体剧情真的有点鸡汤，不是很喜欢。男主的妻子真的很有气质！",
"尖峰时刻 / Rush Hour","2","2024-03-03","https://movie.douban.com/subject/1292624/","如坐针毡",
"空中营救 / Non-Stop","4","2024-03-03","https://movie.douban.com/subject/10598440/","空中之谁是卧底",
"伸冤人 / The Equalizer","4","2024-03-03","https://movie.douban.com/subject/3012013/","“我以为他是老实人”",
"狂怒 / Fury","4","2024-03-03","https://movie.douban.com/subject/23331914/","写实带感",
"邪不压正","2","2024-03-04","https://movie.douban.com/subject/26366496/","和让子弹飞一样，都属于我能感觉到他隐含着很多东西，但是我就是看不出来",
"破碎人生 / Demolition","3","2024-03-09","https://movie.douban.com/subject/25846858/","期待有白日梦想家一样的后劲，但是只是能和男主感同身受。并非需要一直循规蹈矩。一些片段甚至提到了《活在当下》的想法。注意当下，不要自动驾驶，生活很不一样。",
"沙丘2 / Dune: Part Two","4","2024-03-17","https://movie.douban.com/subject/35575567/","太空歌剧",
"一级恐惧 / Primal Fear","4","2024-03-27","https://movie.douban.com/subject/1296217/","周旋",
"穿靴子的猫2 / Puss in Boots: The Last Wish","4","2024-03-29","https://movie.douban.com/subject/25868125/","Star light,star bright,first star I see tonight,I wish I may,I wish I might,have this wish I wish tonight.",
